Zone;Roche's Hole;50,50;66,70;1;
Zone;Field of Laudable Wakey's;34,50;50,66;0;
Zone;Gritty Melmoths Field;24,50;34,64;0;
Zone;Cave of Meters;8,50;24,62;0;
Zone;Ocean of Protest;-28,50;8,76;0;
Zone;Nouronihar Ocean;-48,50;-28,76;0;
Zone;Bakufu Village;-58,50;-48,58;0;
Zone;Fat 'Just Fields;-72,50;-58,62;0;
Zone;Gling Sea;-92,50;-72,74;0;
Zone;Town of Dividing Raynal;-104,50;-92,60;0;
Zone;Cave of Jarring Anthropometrist;-118,50;-104,58;0;
Tile;;-118,50;1;1;7;
Tile;;-118,51;1;1;7;
Tile;;-118,52;1;1;7;
Tile;;-118,53;1;1;7;
Tile;;-118,54;1;1;7;
Tile;;-118,55;1;1;7;
Tile;;-118,56;1;1;7;
Tile;;-118,57;1;1;7;
Tile;;-118,58;1;1;7;
Tile;;-117,58;1;1;7;
Tile;;-116,58;1;1;7;
Tile;;-115,58;1;1;7;
Tile;;-114,58;1;1;7;
Tile;;-113,58;1;1;7;
Tile;;-112,58;1;1;7;
Tile;;-111,58;1;1;7;
Tile;;-110,58;1;1;7;
Tile;;-109,58;1;1;7;
Tile;;-108,58;1;1;7;
Tile;;-107,58;1;1;7;
Tile;;-106,58;1;1;7;
Tile;;-105,58;1;1;7;
Tile;;-104,58;1;1;7;
Tile;;-104,50;1;1;7;
Tile;;-104,51;1;1;7;
Tile;;-104,52;1;1;7;
Tile;;-104,54;1;1;7;
Tile;;-104,55;1;1;7;
Tile;;-104,56;1;1;7;
Tile;;-104,57;1;1;7;
Tile;;-117,50;1;1;7;
Tile;;-116,50;1;1;7;
Tile;;-115,50;1;1;7;
Tile;;-114,50;1;1;7;
Tile;;-113,50;1;1;7;
Tile;;-112,50;1;1;7;
Tile;;-111,50;1;1;7;
Tile;;-110,50;1;1;7;
Tile;;-109,50;1;1;7;
Tile;;-108,50;1;1;7;
Tile;;-107,50;1;1;7;
Tile;;-106,50;1;1;7;
Tile;;-105,50;1;1;7;
Tile;;-111,56;1;1;7;
Tile;;-115,54;1;1;7;
Tile;;-106,52;1;1;7;
Tile;;-106,53;1;1;7;
Tile;;-106,54;1;1;7;
Tile;;-106,55;1;1;7;
Tile;;-110,52;1;1;7;
Tile;;-106,56;1;1;7;
Tile;;-106,57;1;1;7;
Tile;;-110,54;1;1;7;
Tile;;-114,52;1;1;7;
Tile;;-110,56;1;1;7;
Tile;;-114,54;1;1;7;
Tile;;-114,56;1;1;7;
Tile;;-114,57;1;1;7;
Tile;;-109,52;1;1;7;
Tile;;-113,52;1;1;7;
Tile;;-109,56;1;1;7;
Tile;;-113,54;1;1;7;
Tile;;-108,52;1;1;7;
Tile;;-108,53;1;1;7;
Tile;;-108,54;1;1;7;
Tile;;-108,55;1;1;7;
Tile;;-112,52;1;1;7;
Tile;;-108,56;1;1;7;
Tile;;-112,54;1;1;7;
Tile;;-112,55;1;1;7;
Tile;;-116,52;1;1;7;
Tile;;-112,56;1;1;7;
Tile;;-116,53;1;1;7;
Tile;;-116,54;1;1;7;
Tile;;-116,55;1;1;7;
Tile;;-116,56;1;1;7;
Tile;;-111,52;1;1;7;
Tile;;-111,54;1;1;7;
Tile;grass;-117,51;0;6;6;
NPC;Apollonius;-116,57;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Weena's;-107,54;1;2;1;battle;randomAI;displayDialogue(0);
Zone;Photographic Ajandurah's Caverns;-104,34;-90,50;0;
Tile;;-104,34;1;1;7;
Tile;;-104,35;1;1;7;
Tile;;-104,36;1;1;7;
Tile;;-104,37;1;1;7;
Tile;;-104,38;1;1;7;
Tile;;-104,39;1;1;7;
Tile;;-104,40;1;1;7;
Tile;;-104,41;1;1;7;
Tile;;-104,42;1;1;7;
Tile;;-104,43;1;1;7;
Tile;;-104,44;1;1;7;
Tile;;-104,45;1;1;7;
Tile;;-104,46;1;1;7;
Tile;;-104,47;1;1;7;
Tile;;-104,48;1;1;7;
Tile;;-104,49;1;1;7;
Tile;;-103,50;1;1;7;
Tile;;-102,50;1;1;7;
Tile;;-101,50;1;1;7;
Tile;;-100,50;1;1;7;
Tile;;-98,50;1;1;7;
Tile;;-97,50;1;1;7;
Tile;;-96,50;1;1;7;
Tile;;-95,50;1;1;7;
Tile;;-94,50;1;1;7;
Tile;;-93,50;1;1;7;
Tile;;-92,50;1;1;7;
Tile;;-91,50;1;1;7;
Tile;;-90,50;1;1;7;
Tile;;-90,34;1;1;7;
Tile;;-90,35;1;1;7;
Tile;;-90,36;1;1;7;
Tile;;-90,37;1;1;7;
Tile;;-90,38;1;1;7;
Tile;;-90,39;1;1;7;
Tile;;-90,40;1;1;7;
Tile;;-90,41;1;1;7;
Tile;;-90,42;1;1;7;
Tile;;-90,43;1;1;7;
Tile;;-90,44;1;1;7;
Tile;;-90,45;1;1;7;
Tile;;-90,46;1;1;7;
Tile;;-90,47;1;1;7;
Tile;;-90,48;1;1;7;
Tile;;-90,49;1;1;7;
Tile;;-103,34;1;1;7;
Tile;;-102,34;1;1;7;
Tile;;-101,34;1;1;7;
Tile;;-100,34;1;1;7;
Tile;;-99,34;1;1;7;
Tile;;-98,34;1;1;7;
Tile;;-97,34;1;1;7;
Tile;;-96,34;1;1;7;
Tile;;-95,34;1;1;7;
Tile;;-94,34;1;1;7;
Tile;;-93,34;1;1;7;
Tile;;-92,34;1;1;7;
Tile;;-91,34;1;1;7;
Tile;;-101,36;1;1;7;
Tile;;-101,40;1;1;7;
Tile;;-101,42;1;1;7;
Tile;;-101,46;1;1;7;
Tile;;-101,48;1;1;7;
Tile;;-100,35;1;1;7;
Tile;;-100,36;1;1;7;
Tile;;-100,37;1;1;7;
Tile;;-100,38;1;1;7;
Tile;;-100,40;1;1;7;
Tile;;-100,42;1;1;7;
Tile;;-100,44;1;1;7;
Tile;;-100,46;1;1;7;
Tile;;-100,48;1;1;7;
Tile;;-99,38;1;1;7;
Tile;;-99,40;1;1;7;
Tile;;-99,44;1;1;7;
Tile;;-99,48;1;1;7;
Tile;;-98,36;1;1;7;
Tile;;-98,37;1;1;7;
Tile;;-98,38;1;1;7;
Tile;;-98,40;1;1;7;
Tile;;-98,42;1;1;7;
Tile;;-98,43;1;1;7;
Tile;;-98,44;1;1;7;
Tile;;-98,45;1;1;7;
Tile;;-98,46;1;1;7;
Tile;;-98,47;1;1;7;
Tile;;-98,48;1;1;7;
Tile;;-97,40;1;1;7;
Tile;;-97,42;1;1;7;
Tile;;-97,48;1;1;7;
Tile;;-96,36;1;1;7;
Tile;;-96,37;1;1;7;
Tile;;-96,38;1;1;7;
Tile;;-96,39;1;1;7;
Tile;;-96,40;1;1;7;
Tile;;-96,41;1;1;7;
Tile;;-96,42;1;1;7;
Tile;;-96,44;1;1;7;
Tile;;-96,45;1;1;7;
Tile;;-96,46;1;1;7;
Tile;;-96,48;1;1;7;
Tile;;-95,36;1;1;7;
Tile;;-95,42;1;1;7;
Tile;;-95,44;1;1;7;
Tile;;-95,46;1;1;7;
Tile;;-95,48;1;1;7;
Tile;;-94,36;1;1;7;
Tile;;-94,38;1;1;7;
Tile;;-94,39;1;1;7;
Tile;;-94,40;1;1;7;
Tile;;-94,42;1;1;7;
Tile;;-94,44;1;1;7;
Tile;;-94,46;1;1;7;
